#respid	dType	AGE	GENDER	MARITAL	STATUS	EDUCATION	INCOME	DESKTOP	INET	USAGE	MOBILE	INET	USAGE
201	1	4	2	3	4	8	5	2
195	1	5	2	6	4	2	3	1
210	1	6	1	3	5	4	3	2
232	1	6	2	1	4	3	2	2
347	1	2	2	4	4	9	2	2
192	1	4	2	1	4	4	4	1
269	1	3	1	3	5	6	2	2
262	1	5	1	5	4	7	5	2
331	1	6	2	3	3	9	3	2
221	1	5	2	3	2	1	5	1
189	1	6	1	3	4	9	3	3
301	1	4	2	6	4	1	5	2
351	1	4	2	1	5	2	2	2
171	1	6	1	3	5	8	2	2
187	1	3	2	3	4	5	4	3
190	1	5	2	3	2	2	2	1
340	1	4	2	1	5	5	5	1
263	1	5	1	3	3	5	2	1
209	1	5	2	3	2	5	3	2
220	1	3	2	1	5	6	2	1
258	1	4	2	1	3	2	3	1
177	1	5	1	3	5	6	2	1
254	1	5	1	6	4	4	3	2
288	1	5	1	3	5	6	5	3
193	1	2	1	3	5	5	2	2
352	1	5	1	3	2	4	2	1
251	1	6	1	7	3	4	5	5
212	1	5	2	3	3	3	4	4
203	1	5	1	3	5	5	3	3
185	1	3	2	1	5	6	5	3
179	1	2	1	3	5	3	3	3
321	1	3	2	9	4	9	3	1
230	1	4	2	3	5	5	3	1
345	1	4	2	3	4	9	2	2
235	1	6	1	3	5	6	4	2
228	1	6	2	3	5	5	2	1
211	1	3	1	3	5	4	5	5
249	1	3	2	6	2	5	2	1
330	1	5	1	3	4	5	2	2
257	1	3	1	1	3	4	5	3
197	1	5	1	3	5	5	2	1
226	1	4	2	4	5	9	3	2
343	1	6	1	3	5	6	2	2
225	1	3	1	3	5	5	5	2
244	1	3	1	3	5	8	1	2
264	1	4	2	1	4	2	4	4
237	1	3	1	1	4	2	3	1
363	1	4	1	3	4	3	3	2
401	1	5	1	6	5	3	2	1
361	1	3	1	3	4	5	1	1
378	1	4	1	3	4	2	2	1
389	1	5	1	3	4	4	5	5
393	1	5	1	3	4	2	3	1
357	1	3	1	3	4	4	2	3
444	1	3	2	3	4	6	1	5
394	1	5	2	3	3	3	4	3
409	1	6	2	6	4	1	2	1
359	1	5	2	6	3	2	3	2
373	1	4	1	3	4	4	3	2
381	1	6	1	3	5	5	2	2
395	1	3	1	3	4	8	4	3
415	1	4	2	3	2	9	2	1
379	1	5	2	6	4	2	5	1
362	1	5	2	3	4	7	2	1
384	1	4	2	3	3	6	3	1
200	1	5	2	1	4	3	2	2
419	1	5	2	3	4	4	3	1
429	1	4	2	6	2	2	3	1
256	1	5	2	1	5	3	5	2
376	1	3	1	1	4	1	2	2
182	1	3	2	3	5	6	3	2
402	1	4	1	3	5	4	5	2
198	1	3	2	3	5	5	4	3
397	1	2	2	3	4	5	3	2
358	1	5	1	3	5	8	3	1
274	1	1	2	1	3	6	3	2
318	1	3	2	3	4	4	2	2
255	1	6	2	3	3	4	5	1
208	1	2	2	1	4	2	5	2
424	1	5	2	4	5	5	4	2
459	1	4	1	6	4	4	5	1
480	1	2	2	1	4	2	2	2
75263	2	5	2	6	3	2	1	1
75119	2	4	1	3	4	1	5	1
75316	2	1	2	4	4	6	2	1
75150	2	6	1	3	4	9	2	3
75243	2	5	2	3	4	9	3	3
75191	2	6	1	6	4	2	4	1
75060	2	3	1	3	5	5	5	1
75235	2	3	1	3	4	7	4	2
75255	2	5	2	3	4	2	1	1
75084	2	4	1	3	5	4	5	5
75423	2	4	2	3	4	9	3	3
75284	2	5	2	3	5	6	3	2
75302	2	2	2	1	5	3	3	2
75108	2	3	1	3	4	3	2	1
75085	2	6	1	1	5	9	2	1
75209	2	3	1	6	3	2	5	2
75048	2	5	1	3	4	7	4	1
75282	2	4	2	3	5	4	4	1
75079	2	5	1	4	4	4	1	2
75245	2	2	2	3	4	5	3	5
75082	2	5	1	3	5	6	5	1
75056	2	6	1	3	4	3	2	1
75306	2	4	2	3	2	4	1	1
75267	2	5	2	3	4	8	1	3
75399	2	6	2	3	4	9	1	1
75321	2	5	2	6	5	9	2	2
75050	2	5	1	1	4	2	3	2
75319	2	1	2	1	3	9	3	2
75241	2	5	2	3	2	2	2	1
75091	2	5	2	3	4	8	4	2
75115	2	6	1	3	5	5	2	2
458	1	1	2	1	5	2	3	2
75457	2	3	2	3	5	2	2	4
75258	2	4	2	3	4	9	2	2
75237	2	3	2	3	3	4	2	2
75272	2	3	2	3	4	5	5	3
456	1	4	1	6	3	1	2	4
385	1	3	2	1	4	2	1	1
75430	2	5	2	3	5	5	1	2
75314	2	5	2	3	4	5	2	2
75286	2	6	2	6	5	5	2	1
75414	2	3	2	5	4	3	3	2
75304	2	4	2	1	4	1	2	1
75268	2	2	2	3	4	4	3	2
482	1	5	2	3	3	9	2	2
75065	2	4	1	1	3	4	3	1
75058	2	5	1	1	5	2	1	1
75293	2	5	2	3	5	4	3	2
75289	2	5	2	3	2	5	1	1
271	1	1	2	1	3	2	3	2
75096	2	4	1	3	5	9	3	2
466	1	2	1	3	3	5	5	5
75233	2	3	1	1	3	6	5	5
75342	2	3	2	3	4	4	2	2
75248	2	2	2	3	5	4	5	2
367	1	2	2	3	4	4	5	2
75586	2	2	1	3	5	4	4	3
